		cmd name	effect-index	toRecord	i	param-index	val	...			
					s	start-param-index	following-param-count	param1	param2	...	
s1	control r ch	/set-effect-param	0	0	i	0	{value}				
s2	control img alpha	/set-effect-param	1	0	i	9	{value}				
	control video alpha	/set-effect-param	2	0	i	0	{value}				
	control video speed	/set-effect-param	2	1	i	1	{value}				
	broken screen	/set-effect-param	3	1	s	0	2	{value};0.5	0.7		
	noisy distortion	/set-effect-param	4	1	i	0	{value}				
	glitch 1	/set-effect-param	5	1	i	0	{value}				
	tv noise 6	/set-effect-param	6	1	s	0	3	{value}	{value}	{value}	
	artefact	/set-effect-param	7	1	s	0	4	{value}	{value}	{value}	{value}
	flag distortion	/set-effect-param	8	1	i	0	{value}				
	bubble distortion	/set-effect-param	9	1	s	0	3	0.5	0.5	{value}	
	dissipation	/set-effect-param	10	1	i		{value}				
	analogGlitch	/set-effect-param	11	1	s	0	4	{value}	{value}	0.01	{value}
	digitalGlitch	/set-effect-param	12	1	i	0	{value}				
	glitch 3	/set-effect-param	13	1	i	0	{value}				
	new glitch 3	/set-effect-param	14	1	i	0	{value}				
	new glitch 4	/set-effect-param	15	1	i	0	{value}				
	vcrDistortion	/set-effect-param	16	1	i	0	{value}				
	tvDistorted	/set-effect-param	17	1	i	0	{value}				
	fishEye	/set-effect-param	18	1	i	0	{value}				